"location_id","location_name","process_id","date","poll","unit","source","country","frequency","aggregation_function","threshold","exceedance_allowed_per_year","organization","standard_id","value","exceedance","year","exceedance_this_year","violation","gadm1_id"
"manchester_gbr.1_1_gb","Manchester","city_background_day_mad",2019-01-10,"pm10","µg/m3","aurn","GB","24-hour","mean",50,35,"UK",31,50.8677083333333,1,2019,1,FALSE,"gbr.1_1"
"manchester_gbr.1_1_gb","Manchester","city_background_day_mad",2019-01-10,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,33.4771682692308,1,2019,3,TRUE,"gbr.1_1"
"manchester_gbr.1_1_gb","Manchester","city_day_mad",2019-01-10,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,33.4771682692308,1,2019,4,TRUE,"gbr.1_1"
"medway_gbr.1_1_gb","Medway","city_day_mad",2019-01-10,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.1666041666667,1,2019,2,TRUE,"gbr.1_1"
"warrington_gbr.1_1_gb","Warrington","city_day_mad",2019-01-10,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.6666666666667,1,2019,2,TRUE,"gbr.1_1"
"wigan_gbr.1_1_gb","Wigan","city_background_day_mad",2019-01-10,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.9625,1,2019,3,TRUE,"gbr.1_1"
"wigan_gbr.1_1_gb","Wigan","city_day_mad",2019-01-10,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.9625,1,2019,4,TRUE,"gbr.1_1"
"caerphilly_gbr.4_1_gb","Caerphilly","city_hour_mad",2019-01-11,"no2","µg/m3","aurn","GB","1-hour","mean",200,0,"WHO",16,204.7964,1,2019,2,TRUE,"gbr.4_1"
"caerphilly_gbr.4_1_gb","Caerphilly","city_hour_mad",2019-01-11,"no2","µg/m3","aurn","GB","1-hour","mean",200,18,"UK",34,204.7964,1,2019,2,FALSE,"gbr.4_1"
"eastbourne_gbr.1_1_gb","Eastbourne","city_background_day_mad",2019-01-11,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.3958333333333,1,2019,7,TRUE,"gbr.1_1"
"eastbourne_gbr.1_1_gb","Eastbourne","city_day_mad",2019-01-11,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.3958333333333,1,2019,8,TRUE,"gbr.1_1"
"falkirk_gbr.3_1_gb","Falkirk","city_day_mad",2019-01-19,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.0833333333333,1,2019,1,TRUE,"gbr.3_1"
"newcastle upon tyne_gbr.1_1_gb","Newcastle upon Tyne","city_background_day_mad",2019-01-19,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.2333333333333,1,2019,1,TRUE,"gbr.1_1"
